codigo_ibge,municipio,uf,dia,mes,data_referencia,criterio,confianca,campo_origem,frase_origem,fonte_historico,status_consulta
5204607,Campestre de Goiás,GO,29,10,29/10/1963,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Campestre de Goiás, pela Lei Estadual n.º 4.722, de 29-10-1963, desmembrado de Trindade.",Campestre de Goiás (GO). Prefeitura. 2017. Disponível em: http://www.campestre.go.gov.br/. Acesso em: maio 2017.,ok
5204656,Campinaçu,GO,14,5,14/05/1982,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Campinaçu, pela Lei Estadual n.º 9.177, de 14-05-1982, desmembrado de Uruaçu e Minaçu.",Campinaçu (GO). Prefeitura. 2017. Disponível em: http://http://www.campinacu.go.gov.br/Historia.php. Acesso em: maio 2017.,ok
5204706,Campinorte,GO,8,10,08/10/1963,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Campinorte, pela Lei Estadual n.º 4.655, de 08-10-1963, desmembrado de Uruaçu.",Campinorte (GO). Prefeitura. 2017. Disponível em: http://www.campinorte.go.gov.br/a-cidade/historia. Acesso em: maio 2017.,ok
5204805,Campo Alegre de Goiás,GO,12,11,12/11/1953,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Campo Alegre de Goiás, pela Lei Estadual n.º 893, de 12-11-1953, desmembrado de Ipameri.","Campo Alegre de Goiás (GO). Prefeitura. 2017. Disponível em:  http://www.campoalegre.go.gov.br/sobre-a-cidade,IF,Mjc.html. Acesso em: maio 2017.",ok
5204854,Campo Limpo de Goiás,GO,21,7,21/07/1997,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Campo Limpo de Goiás, pela Lei Estadual n.º 13.133, de 21-07-1997, desmembrado de Anápolis.",Campo Limpo de Goiás (GO). Câmara Municipal. 2017. Disponível em: http://www.camaradecampolimpo.go.gov.br/campo-limpo. Acesso em: maio 2017.,ok
5204904,Campos Belos,GO,13,11,13/11/1953,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Campos Belos, pela Lei Estadual n.º 954, de 13-11-1953, complementada pela Lei n.º 1.274, de 14-12-1953, desmembrado de Campo Alegre de Goiás (ex-Chapéu).",Campos Belos (GO). Prefeitura. 2017. Disponível em: http://www.camposbelos.go.gov.br/index.php/a-cidade.  Acesso em: maio 2017.,ok
5204953,Campos Verdes,GO,30,12,30/12/1987,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município e distrito com a denominação de Campos Verdes ex-povoado, pela Lei Estadual n.º 10.401, de 30-12-1987, desmembrado de Santa Terezinha de Goiás.",Campos Verdes (GO). Prefeitura. 2017. Disponível em: http://www.camposverdes.go.gov.br/sobre-o-muncipio/historia-da-cidade/. Acesso em: maio 2017.,ok
5205000,Carmo do Rio Verde,GO,14,11,14/11/1952,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Carmo do Rio Verde, pela Lei Estadual n.º 706, de 14-11-1952, desmembrado de Goiás.",Carmo do Rio Verde (GO). Prefeitura. 2017. Disponível em: http://www.carmodorioverde.go.gov.br/informacoes/0-12-Hist%C3%B3ria+da+cidade. Acesso em: maio 2017.,ok
5205059,Castelândia,GO,16,1,16/01/1991,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Castelândia, pela Lei Estadual n.º 11.400, de 16-01-1991, desmembrado de Rio Verde.",Castelândia (GO). Prefeitura. 2017. Disponível em: http://www.castelandia.go.gov.br/pagina.php?id_pagina=2. Acesso em: abr. 2017.,ok
5205109,Catalão,GO,1,4,01/04/1833,elevacao_vila,alta,formacao_administrativa,"Elevado à categoria de vila com a denominação de Catalão, por Resolução do Conselho do Governo, em 01-04-1833.","Catalão (GO). In: ENCICLOPÉDIA dos municípios brasileiros. Rio de Janeiro: IBGE, 1958. v. 36. p. 113-119. Disponível em: http://biblioteca.ibge.gov.br/visualizacao/livros/liv27295_36.pdf. Acesso em: ago. 2015",ok
5205208,Caturaí,GO,14,11,14/11/1958,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Caturaí, pela Lei Estadual n.º 2.132, de 14-11-1958, desmembrado de Inhumas.",Caturaí (GO). Prefeitura. 2017. Disponível em: http://www.caturai.go.gov.br. Acesso em: maio 2017.,ok
5205307,Cavalcante,GO,11,11,11/11/1831,elevacao_vila,alta,formacao_administrativa,"Elevado à categoria de vila com a denominação de Cavalcante, pelo Decreto de 11-11-1831.",Cavalcante (GO). Prefeitura. 2017. Disponível em: http://www.cavalcante.go.gov.br/323/DadosMunicipais/. Acesso em: maio 2017.,ok
5205406,Ceres,GO,4,9,04/09/1953,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Ceres, pela Lei Estadual n.º 767, de 04-09-1953, desmembrado de Goiás.",Ceres (GO). Prefeitura. 2017. Disponível em: http://www.ceres.go.gov.br/pagina/145-historia-da-cidade. Acesso em: maio 2017.,ok
5205455,Cezarina,GO,1,1,01/01/1988,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Cezarina, pela Lei Estadual n.º 10.413, de 01-01-1988, desmembrado de Palmeira de Goiás e Indiara.",Cezarina (GO). Prefeitura. 2017. Disponível em: http://www.cavalcante.go.gov.br/323/DadosMunicipais. Acesso em: maio 2017.,ok
5205471,Chapadão do Céu,GO,16,1,16/01/1991,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Chapadão do Céu (ex-povoado), pela Lei Estadual n.º 11.398, de 16-01-1991, desmembrado de Aporé.","Chapadão do Céu (GO). Prefeitura. 2017. Disponível em: 
http://www.chapadaodoceu.go.gov.br/nossa-cidade/historia. Acesso em: maio 2017.",ok
5205497,Cidade Ocidental,GO,16,1,16/01/1991,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Cidade Ocidental , pela lei estadual nº 11.403, de 16-01-1991, sendo desmembrado de Luziânia.",Cidade Ocidental (GO). Prefeitura. 2015. Disponível em: http://cidadeocidental.go.gov.br/nossa-cidade/. Acesso em: ago. 2015.,ok
5205513,Cocalzinho de Goiás,GO,3,7,03/07/1990,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município e distrito com a denominação de Cocalzinho de Goiás, pela Lei Estadual n.º 11.262, de 03-07-1990, desmembrado de Corumbá de Goiás.",Cocalzinho de Goiás (GO). Prefeitura. 2017. Disponível em: http://www.cocalzinho.go.gov.br/?p=338. Acesso em: mar. 2017.,ok
5205521,Colinas do Sul,GO,30,12,30/12/1987,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Colinas do Sul, pela Lei Estadual n.º 10.403, de 30-12-1987, desmembrado de Cavalcante.",COLINAS DO SUL (GO). Prefeitura. [200?].,ok
5205703,Córrego do Ouro,GO,24,11,24/11/1953,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Córrego do Ouro, pela Lei Estadual n.º 776, de 24-11-1953, desmembrado de Goiás.",Córrego do Ouro (GO). Prefeitura. 2017. Disponível em: http://www.corregodoouro.go.gov.br/sobre-o-municipio/. Acesso em: maio 2017.,ok
5205802,Corumbá de Goiás,GO,2,7,02/07/1849,elevacao_vila,alta,formacao_administrativa,"Elevado à categoria de vila com a denominação de Corumbá, pela Lei Provincial n.º 7, de 02-07-1849, desmembrado de Pirenópolis (ex-Meia Ponte).",Corumbá de Goiás (GO). Prefeitura. 2017. Disponível em: http://corumbadegoias.go.gov.br/historia/. Acesso em: maio 2017.,ok
5205901,Corumbaíba,GO,12,7,12/07/1905,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de Xavier de Almeida, pela Lei Estadual n.º 266, de 12-07-1905, desmembrado de Ipameri.",Corumbaíba (GO). Prefeitura. 2017. Disponível em: http://www.corumbaiba.go.gov.br/historico. Acesso em: mar. 2017.,ok
5206206,Cristalina,GO,18,7,18/07/1916,elevacao_municipio,media,formacao_administrativa,"Elevado à categoria de município com a denominação de São Sebastião da Serra dos Cristais pela Lei Estadual n.º 533, de 18-07-1916, sendo desmembrado de Santa Luzia.",Cristalina (GO).  Prefeitura. 2015. Disponível em: http://www.cristalina.go.gov.br/site/conheca_cristalina.php. Acesso em: jan. 2016.,ok
